wind_speed_kmh,pressure_hpa,rainfall_mm,storm_surge_m,cyclone_size_km,movement_speed_kmh,ocean_temperature_c,impact_score,impact_level
203,878,45,7.5,551,19,25.3,490.04,Extreme
66,989,109,6.1,115,6,24.8,245.27,Moderate
99,979,636,0.8,457,39,27.8,302.65,High
154,1000,304,8.2,63,15,30.3,327.08,High
127,921,179,2.5,739,11,24.8,364.36,High
64,941,372,6.2,138,34,28.8,367.83,High
276,946,100,5.7,790,41,25.7,411.2,High
57,861,697,2.7,642,10,31.7,520.92,Extreme
261,875,409,3.1,797,15,27.3,526.88,Extreme
93,918,683,1.2,400,39,30.6,411.17,High
81,968,408,3.1,1190,19,30.2,358.5,High
255,864,254,8.3,696,30,26.4,575.75,Extreme
94,995,342,2.5,1072,30,32.0,308.18,High
204,967,166,3.0,555,40,28.9,332.6,High
231,999,458,9.0,867,28,26.0,406.1,High
75,980,525,1.4,146,12,25.4,261.33,Moderate
80,958,630,1.1,831,43,33.0,370.17,High
175,914,586,8.7,73,12,30.1,504.03,Extreme
177,918,676,3.7,651,32,25.4,460.05,Extreme
40,917,532,7.7,1089,11,31.8,493.38,Extreme
116,979,643,2.4,815,15,28.9,350.69,High
239,985,20,6.2,1050,6,25.0,346.57,High
132,928,265,1.1,211,10,30.6,346.27,High
248,867,565,7.8,312,35,32.5,606.99,Extreme
82,917,560,8.8,916,18,32.4,517.83,Extreme
233,901,339,4.3,814,33,32.1,504.24,Extreme
155,880,273,2.6,742,6,29.3,466.29,Extreme
98,1000,245,0.6,170,19,24.6,192.39,Moderate
48,934,92,5.4,620,36,25.9,340.9,High
73,996,610,5.0,1018,31,25.7,335.28,High
64,960,382,4.5,1006,8,30.1,368.78,High
205,875,82,4.3,744,11,26.2,474.68,Extreme
88,987,479,1.8,425,22,28.2,279.36,Moderate
263,869,473,8.2,1177,11,24.5,613.54,Extreme
178,853,115,9.3,534,15,27.7,558.31,Extreme
163,904,430,9.1,387,29,24.0,491.63,Extreme
139,917,485,3.2,1188,36,25.4,445.86,High
115,905,79,6.0,1160,8,30.7,458.51,Extreme
54,862,618,5.0,1137,15,24.5,532.1,Extreme
170,870,210,1.2,189,20,27.6,427.17,High
267,995,272,6.0,131,44,24.7,322.85,High
208,999,598,5.5,584,18,30.0,375.78,High
120,911,291,4.3,664,34,26.8,416.88,High
232,868,29,4.9,254,9,28.8,480.66,Extreme
169,917,155,9.4,190,20,27.3,446.71,High
80,962,576,7.2,1133,5,30.0,433.72,High
181,926,699,1.5,325,21,25.0,407.96,High
67,991,179,3.1,481,26,25.8,237.66,Moderate
202,917,537,5.1,154,10,29.7,461.66,Extreme
252,920,65,0.5,317,45,32.8,380.17,High
81,963,584,7.2,1198,5,25.0,416.8,High
266,888,578,0.8,806,42,29.0,509.82,Extreme
150,882,62,3.4,131,27,25.9,400.7,High
103,876,382,7.9,882,44,30.7,544.78,Extreme
276,910,186,9.8,412,31,24.2,500.25,Extreme
228,935,441,8.1,558,22,25.4,470.32,Extreme
219,877,411,8.8,1013,19,25.8,583.33,Extreme
275,967,378,3.4,516,19,24.2,366.82,High
89,952,356,3.1,192,22,27.2,316.77,High
170,952,569,3.6,106,12,31.9,390.89,High
106,895,614,9.6,593,7,25.0,529.43,Extreme
151,938,341,4.6,1097,12,27.5,421.01,High
187,898,280,0.9,943,5,28.7,438.08,High
246,987,221,4.0,193,26,29.6,320.18,High
209,881,327,5.3,886,25,27.6,522.34,Extreme
115,991,150,2.3,826,16,29.5,272.48,Moderate
117,953,581,8.4,672,23,25.9,435.12,High
241,998,641,6.7,1002,33,28.0,420.96,High
94,980,504,8.0,397,10,26.6,361.58,High
209,1008,363,1.4,531,24,26.0,265.39,Moderate
90,887,45,0.9,1023,44,31.6,408.48,High
58,966,444,8.9,448,29,28.4,383.63,High
102,887,691,7.0,268,32,26.0,506.27,Extreme
245,982,495,1.0,560,12,28.1,337.94,High
245,968,563,9.9,699,33,29.5,486.79,Extreme
224,979,456,8.4,1172,33,32.1,465.97,Extreme
230,971,480,3.0,556,45,26.5,364.97,High
239,983,516,6.5,612,33,24.7,392.07,High
113,910,298,3.7,1156,10,25.2,427.92,High
99,948,176,7.2,181,31,27.7,354.25,High
178,969,445,1.1,910,29,32.1,363.56,High
189,855,609,4.1,62,27,26.7,530.73,Extreme
139,957,571,7.6,1168,43,32.1,475.21,Extreme
164,906,299,4.6,109,29,27.0,416.69,High
213,953,189,8.5,311,44,28.8,412.88,High
272,950,626,5.9,105,10,29.8,454.17,Extreme
74,968,206,1.0,826,25,25.9,270.32,Moderate
123,936,408,3.1,913,21,31.5,411.85,High
160,854,572,1.0,766,19,29.9,528.73,Extreme
239,860,51,9.5,458,6,29.6,566.34,Extreme
101,882,504,6.9,496,34,30.3,517.47,Extreme
236,944,191,6.3,284,15,32.7,422.14,High
67,998,46,9.3,818,30,32.5,328.58,High
90,869,626,7.1,547,11,30.3,553.5,Extreme
117,1003,143,8.1,134,27,28.8,286.47,Moderate
209,944,90,5.3,748,5,31.6,407.32,High
250,975,128,4.6,791,45,32.0,374.58,High
157,889,465,2.2,1118,22,29.5,492.26,Extreme
275,987,515,4.9,599,25,31.7,406.09,High
252,872,305,8.9,549,34,29.1,579.77,Extreme
211,947,364,0.8,715,16,28.4,369.28,High
130,916,368,3.2,615,40,24.1,395.88,High
88,871,267,7.3,1050,40,30.8,534.51,Extreme
216,971,681,7.3,967,6,24.8,450.78,Extreme
96,953,269,3.4,805,35,29.0,348.18,High
128,958,583,3.6,979,22,26.8,392.89,High
99,880,217,3.5,1147,16,25.7,457.28,Extreme
229,973,303,7.4,1124,43,26.5,420.71,High
65,899,323,2.7,417,24,24.1,378.19,High
176,882,300,0.9,161,40,26.6,413.42,High
72,975,125,8.8,632,35,28.3,342.53,High
127,897,72,2.9,1028,12,31.4,432.63,High
142,975,95,6.0,159,14,25.3,292.86,Moderate
184,927,107,9.9,292,40,30.9,456.21,Extreme
195,1002,653,2.6,1120,29,28.1,358.23,High
153,926,622,9.9,675,41,29.6,525.7,Extreme
196,875,232,6.4,591,10,25.4,504.78,Extreme
